State_of_Charge,StateofCharge,Voltage,DischargeVoltage,ChargeVoltage,DischargeEnergy
0.338,33.8,3.805629,3.75947,3.851788,10.28803284
0.34,34,3.8063745,3.760482,3.852267,10.25899284
0.342,34.2,3.80675,3.760774,3.852726,10.22995284
0.344,34.4,3.807407,3.761785,3.853029,10.20090284
0.346,34.6,3.807875,3.76265,3.8531,10.17184284
0.348,34.8,3.808431,3.763147,3.853715,10.14279284
0.35,35,3.809185,3.764068,3.854302,10.11372284
0.352,35.2,3.809372,3.764251,3.854493,10.08466284
0.354,35.4,3.810122,3.765267,3.854977,10.05559284
0.356,35.6,3.810587,3.766009,3.855165,10.02651284
0.358,35.8,3.8111805,3.76657,3.855791,9.997422843
0.36,36,3.81189,3.767591,3.856189,9.968332843
0.362,36.2,3.812242,3.768145,3.856339,9.939232843
0.364,36.4,3.8129735,3.768858,3.857089,9.905279843
0.366,36.6,3.813705,3.769843,3.857567,9.876165843
0.368,36.8,3.814092,3.770308,3.857876,9.847045843
0.37,37,3.8144885,3.771182,3.857795,9.817921843
0.372,37.2,3.8153465,3.771909,3.858784,9.788799843
0.374,37.4,3.8159225,3.772486,3.859359,9.759668843
0.376,37.6,3.81667,3.773396,3.859944,9.730533843
0.378,37.8,3.8169945,3.774005,3.859984,9.701387843
0.38,38,3.817659,3.774791,3.860527,9.672239843
0.382,38.2,3.8185235,3.775806,3.861241,9.643090843
0.384,38.4,3.819069,3.776371,3.861767,9.613931843
0.386,38.6,3.8198455,3.777358,3.862333,9.584768843
0.388,38.8,3.8202905,3.777957,3.862624,9.555594843
0.39,39,3.8209125,3.778617,3.863208,9.526417843
0.392,39.2,3.8217535,3.779469,3.864038,9.497234843
0.394,39.4,3.8221445,3.780075,3.864214,9.468046843
0.396,39.6,3.8228995,3.78108,3.864719,9.438846843
0.398,39.8,3.8237725,3.782048,3.865497,9.404779843
0.4,40,3.824539,3.782797,3.866281,9.375566843
0.402,40.2,3.8250635,3.78342,3.866707,9.346355843
0.404,40.4,3.8257265,3.784116,3.867337,9.317129843
0.406,40.6,3.826457,3.784985,3.867929,9.287907843
0.408,40.8,3.8273775,3.786022,3.868733,9.258677843
0.41,41,3.827729,3.786382,3.869076,9.229440843
0.412,41.2,3.8286505,3.787588,3.869713,9.200196843
0.414,41.4,3.829252,3.788216,3.870288,9.170944843
0.416,41.6,3.8300245,3.788895,3.871154,9.141688843
0.418,41.8,3.830894,3.790013,3.871775,9.112429843
0.42,42,3.831465,3.790509,3.872421,9.083161843
0.422,42.2,3.8322945,3.791617,3.872972,9.053888843
0.424,42.4,3.8331115,3.792294,3.873929,9.024608843
0.426,42.6,3.833735,3.792989,3.874481,8.995321843
0.428,42.8,3.834711,3.794211,3.875211,8.966029843
0.43,43,3.8355395,3.795058,3.876021,8.931839843
0.432,43.2,3.8362565,3.79582,3.876693,8.902533843
0.434,43.4,3.837203,3.796756,3.87765,8.873219843
0.436,43.6,3.8380505,3.797539,3.878562,8.843898843
0.438,43.8,3.8386365,3.798424,3.878849,8.814568843
0.44,44,3.839677,3.799396,3.879958,8.785234843
0.442,44.2,3.840324,3.800174,3.880474,8.755893843
0.444,44.4,3.8412035,3.801088,3.881319,8.726545843
0.446,44.6,3.8420505,3.801914,3.882187,8.697193843
0.448,44.8,3.8424865,3.80267,3.882303,8.667830843
0.45,45,3.8437715,3.803721,3.883822,8.638469843
0.452,45.2,3.844604,3.804295,3.884913,8.609095843
0.454,45.4,3.845666,3.805563,3.885769,8.579715843
0.456,45.6,3.846419,3.806315,3.886523,8.550324843
0.458,45.8,3.8472975,3.807406,3.887189,8.520928843
0.46,46,3.848283,3.808249,3.888317,8.491529843
0.462,46.2,3.8491885,3.809215,3.889162,8.462118843
0.464,46.4,3.8501535,3.810488,3.889819,8.427798843
0.466,46.6,3.8510125,3.811058,3.890967,8.398378843
0.468,46.8,3.851877,3.812037,3.891717,8.368940843
0.47,47,3.853017,3.813029,3.893005,8.339502843
0.472,47.2,3.853936,3.813902,3.89397,8.310059843
0.474,47.4,3.8548165,3.814997,3.894636,8.280603843
0.476,47.6,3.855834,3.815886,3.895782,8.251147843
0.478,47.8,3.856887,3.816937,3.896837,8.221675843
0.48,48,3.857714,3.817803,3.897625,8.192202843
0.482,48.2,3.8587735,3.818789,3.898758,8.162718843
0.484,48.4,3.8598685,3.819941,3.899796,8.133229843
0.486,48.6,3.8609455,3.820813,3.901078,8.103726843
0.488,48.8,3.8620915,3.822099,3.902084,8.074226843
0.49,49,3.862774,3.822797,3.902751,8.044715843
0.492,49.2,3.8639605,3.824027,3.903894,8.015193843
0.494,49.4,3.8649335,3.824638,3.905229,7.985672843
0.496,49.6,3.86629,3.826151,3.906429,7.951208843
0.498,49.8,3.8673115,3.827153,3.90747,7.921662843
0.5,50,3.8683215,3.828045,3.908598,7.892106843
0.502,50.2,3.869494,3.82921,3.909778,7.862544843
0.504,50.4,3.870876,3.830463,3.911289,7.832973843
0.506,50.6,3.871591,3.831378,3.911804,7.803392843
0.508,50.8,3.872683,3.832535,3.912831,7.773811843
0.51,51,3.8739585,3.833514,3.914403,7.744216843
0.512,51.2,3.8752205,3.834708,3.915733,7.714615843
